lake,year,lake_year,experiment,nutrient_startdate,heatwave
L,2008,L_2008,none,,FALSE
L,2009,L_2009,none,,TRUE
L,2010,L_2010,none,,TRUE
L,2013,L_2013,none,,TRUE
L,2014,L_2014,none,,FALSE
L,2015,L_2015,none,,FALSE
L,2018,L_2018,none,,TRUE
L,2019,L_2019,none,,TRUE
R,2008,R_2008,foodweb,,FALSE
R,2009,R_2009,foodweb,,TRUE
R,2010,R_2010,foodweb,,TRUE
R,2013,R_2013,nutrients,,TRUE
R,2014,R_2014,nutrients,,TRUE
R,2015,R_2015,nutrients,,FALSE
R,2018,R_2018,none,,TRUE
R,2019,R_2019,nutrients,,TRUE
T,2013,T_2013,nutrients,,TRUE
T,2014,T_2014,nutrients,,TRUE
T,2015,T_2015,nutrients,,TRUE
